original_text,label,label_name,paraphrase,similarity
Picking Your Perfect PCI Express PC Way back in June I suggested you hold off on buying a new PC until systems with PCI Express shipped. The new technology has the potential to dramatically improve performance because it replaces the pokey old ,3,Sci/Tech,Picking Your Perfect PCI Express PC Way back in June I suggested that you hold off on buying a new PC until systems with PCI express were shipped . The new technology has the potential to dramatically improve performance because it replaces the old prickly .,0.9558
"Russia May Ratify Kyoto Protocol in Oct. -- Minister (Reuters) Reuters - The Russian government expects\parliament to ratify the Kyoto Protocol this month in a move\allowing the long-delayed climate change treaty to come into\force worldwide, a senior minister said Monday.",3,Sci/Tech,"Russia may ratify Kyoto Protocol in Oct. -- Minister (Reuters) Reuters - The Russian government expects the Kyoto Protocol to be ratified this month in a move that will allow the long-delayed climate change treaty to come into force worldwide , a senior minister said Monday .",0.9775
"Ready to Bet on Alternative Energy? Well, Think Again When oil prices rise, public interest in alternative energy often does, too. But the logic is evidently escaping Wall Street.",2,Business,"Ready to bet on alternative energy? Well, think again When oil prices rise, public interest in alternative energy often does, but the logic is evidently escaping Wall Street .",0.9981
Microsoft braces for crucial TV test Comcast trials will provide a big clue about the software giant's prospects for cable success.,3,Sci/Tech,Microsoft prepares for crucial TV test Comcast trials will provide a big clue about the software giant's prospects for cable success .,0.9035
"Martha Stewart Living posts bigger loss Martha Stewart Living Omnimedia Inc., still reeling from the personal legal woes of its imprisoned founder, former chairwoman and CEO, posted a wider loss in the third quarter ",2,Business,"Martha Stewart Living posts bigger loss Martha Stewart living Omnimedia Inc., still reeling from the personal legal woes of its imprisoned founder, former chairwoman and CEO, posted a larger loss in the third quarter .",0.9723
"Intel Shrinks Transistor Size By 30 pinkUZI writes  quot;Intel will announce that it has crammed 500 million transistors on to a single memory chip, shrinking them in size by 30.",3,Sci/Tech,"Intel shrinks transistor size by 30 pinkUZI writes quot;Intel will announce that it has crammed 500 million transistors onto a single memory chip, shrinking them by 30 in size .",0.9981
"Tigers split at Tampa After riding Jeremy Bonderman #39;s four-hitter to an 8-0 victory over Tampa Bay in Thursday #39;s first game, the Tigers watched their worn-out bullpen come unglued -- again -- when ",1,Sports,"Tigers split at Tampa After riding Jeremy Bonderman #39;s four-hitter to an 8-0 victory over Tampa Bay in the first game of Thursday, the Tigers watched their worn-out bullpen come unglued -- again -- when",0.9946
"Russia shrugs off US court freeze on oil giant Yukos auction MOSCOW (AFP) - Russia forged ahead with the weekend auction of the core asset of crippled oil giant Yukos despite a disputed US court order barring the sale, with state-controlled gas giant Gazprom entering the bidding.",2,Business,"Russia shrugs off US court freeze on oil giant Yukos auction MOSCOW (AFP) - Russia forged ahead with the weekend auction of the core asset of the crippled oil company Yukos despite a disputed US court order barring the sale, with state-controlled gas giant Gazprom entering the bidding .",0.9984
"Interview: OSDL chief Stuart Cohen - Part 2 In the second of a two-part interview, Open Systems Development Labs chief Stuart Cohen gives his views on Linux security, desktops, the Domino effect towards Linux, and why Microsoft will eventually port to Linux.",3,Sci/Tech,"Interview: OSDL Chief Stuart Cohen - Part 2 In the second of a two-part interview, Open Systems Development Labs chief Stuart Cohen gives his views on Linux security, desktops, the Domino effect towards Linux and why Microsoft will eventually port to Linux .",0.9996
"Hurricane Ivan Batters Grand Cayman GEORGE TOWN, Cayman Islands - Hurricane Ivan battered the Cayman Islands with ferocious 150-mph winds Sunday, threatening a direct hit as it flooded homes and ripped up roofs and trees three stories high.    Ivan has killed at least 60 people as it has torn a path of destruction across the Caribbean and was headed next for western Cuba, where it was expected to hit Monday, and could brush the Florida Keys and parts of Florida's Gulf Coast...",0,World,"GEORGE TOWN, Cayman Islands - Hurricane Ivan slammed the cayman islands with ferocious 150-mph winds Sunday , threatening a direct hit as it flooded homes and ripped up roofs and trees three stories high . Ivan has killed at least 60 people as it has torn a path of destruction across the Caribbean and was headed for western Cuba, where it was expected to hit Monday and could brush the Florida Keys and parts of the Florida Gulf Coast",0.9504
