original_text,label,label_name,paraphrase,similarity
Jury Orders Medtronic to Pay \$109 Mln to Inventor A jury in federal court in Tennessee has ordered Medtronic Inc. to pay at least \$109 million to an inventor in a dispute over rights to spinal fusion technology.,2,Business,A lawsuit against Medtronic Inc. in Tennessee has resulted in a jury being ordered to pay $109 million or more to an inventor of spinal fusion technology.,0.8856
"Almost 5,000 jobs cut on Bank of America getting funds Bank of America has an option to cut at least 4,500 jobs while reorganizing its structure. This is not the first time when the bank reduces jobs.",2,Business,"The bank has previously reduced employment by almost 5,000 jobs while restructuring its structure.",0.7041
"Indian inflation peaks on imports Indian inflation hits its highest level in more than three years, boosted by increasing energy and food costs.",2,Business,"The inflation rate in India for imports is the highest it has been in over three years, fueled by the surge in energy and food expenses.",0.9027
Confident Bush Outlines Ambitious Plan for 2nd Term President Bush said he would begin work immediately on his proposal to overhaul Social Security.,0,World,"Bush, who is confident in his government plans for the second term, announced that he would begin his proposal to reform Social Security without delay.",0.8276
Update 1: Passengers Stranded by Canceled Flights Thousands of disgruntled vacationers were stranded at Heathrow Airport Tuesday after British Airways canceled scores of flights because of staff shortages and technical hitches.,0,World,Hundreds of holidaymakers were left stranded at Heathrow Airport on Tuesday due to staff shortages and technical issues caused by the cancellation of flights.,0.6894
"This silence can't be golden What does Larry Bird think of Ron Artest's recent sabbatical? He's not saying. But given that this was a guy who came out of traction to play a game, we can pretty much assume what he has said behind closed doors.",1,Sports,"Don't get me wrong, Larry Bird believes he's being on a layoff, but he can confidently say that he didn't disclose it.",0.6011
"Subplots abound in rich ALCS the two Eastern Division rivals as consumed with each other as Ahab was with his whale, now and forever. Tonight, it #39;s Mike Mussina vs.",1,Sports,The ALCS is saturated with subplots and the Eastern Division rivalry is as intense as Ahab's pursuit of his whale. Tonight's game will be between Mike Mussina and others.,0.8734
Panama-Cuba 'pardon' row worsens Panama recalls its Havana ambassador after Cuba threatened to cut ties if jailed anti-Castro activists are pardoned.,0,World,"The imprisoning of anti-Castro activists in Panama has led to a growing conflict, leading to the revocation of the ambassador by Cuba, who has threatened to end diplomatic ties with the latter.",0.6343
"More harmful drugs may be on the market After writing about hundreds of individual and class-action lawsuits that have been filed on behalf of consumers who developed cancer, suffered heart attacks or other medical problems from hormone replacement therapy drugs and Vioxx, an FDA employee now ",2,Business,"Due to the numerous lawsuits filed by consumers who have suffered from cancer, heart attacks, or other medical problems caused by hormone replacement therapy drugs and Vioxx, an FDA employee is now concerned about the potential for more harmful drugs to be introduced into the market.",0.871
"S amp;P 500 Slides; Nasdaq, Dow Rise The Standard  amp; Poor #39;s 500-stock index slipped from a three-year high, dragged lower by energy shares including Exxon Mobil as crude-oil prices dropped to their lowest in almost two months.",2,Business,"The S&P 500 index fell as energy stocks, including Exxon Mobil, fell as crude-oil prices hit their lowest point in almost two months.",0.7121
"WordsWorth Books files Chapter 11 WordsWorth Books, a Harvard Square institution for 29 years, yesterday filed for bankruptcy protection, as its owners seek a buyer or investor to help the independent bookseller compete with giant rivals like Amazon.com.",2,Business,"In an effort to compete with Amazon.com and other big business rivals, WordsWorth Books filed for Chapter 11 bankruptcy, the company owned by the company and a Harvard Square institution.",0.8967
"Best Software overhauls Act  Best Softwarelaunched this week an overhaul of its Act contact management software, adding to the product line a second version with more scalability and advanced functionality.",3,Sci/Tech,"Best Software has recently updated its Act contact management software, introducing a new version that offers greater scalability and advanced functionality.",0.7932
"Microsoft Pushes Off SP2 Release Microsoft will delay the release of its SP2 update for another week to fix software glitches. But not everyone is quite so eager to install the SP2 update for Windows XP. In fact, many companies have demanded the ability to prevent their ...",3,Sci/Tech,"Microsoft Postpones SP2 Release for Another Week to Fix Software Bugs. Nevertheless, not everyone is eager to get the SP2 update for Windows XP. In fact, numerous companies have demanded the ability to stop their ...",0.9532
Cassini Heads Toward Giant Moon on Saturn (AP) AP - The U.S.-European spacecraft Cassini hurtled Tuesday toward its closest encounter yet with Saturn's giant moon Titan.,3,Sci/Tech,"Cassini's U.S.-European spacecraft flew towards Titan, the moon that contains more than a million years of undiscovered activity, on Tuesday.",0.6543
"Scientists Prepare for Huygens' Plunge into Titan UC Berkeley -- On Jan. 14, 2005, the Huygens probe will plow into the orange atmosphere of Saturn's moon, Titan, becoming the first spacecraft to attempt to land on a moon in our solar system since the Soviet Union's Luna 24 touched down on Earth's moon in 1976...",3,Sci/Tech,"The Huygens probe has been preparing for its first attempt to land on a moon in our solar system, pinning it into the orange atmosphere of Saturn's moon on Jan. 14, 2005, which is a milestone unlike the Luna 24 mission that only landed on Earth in 1976.",0.8683
"Gunfire Erupts in Pro-Aristide Haiti Slum PORT-AU-PRINCE, Haiti Oct. 3, 2004 - Gunfire erupted in a slum teeming with loyalists of ousted President Jean-Bertrand Aristide on Sunday, sending people scattering through trash-strewn streets following ",0,World,"On Sunday, a slum in Haiti witnessed the outbreak of gunfire and the scattering of trash in an area where Jean-Bertrand Aristide was a supporter of the country's elected leader.",0.7862
"Wireless Operators Team on Wi-Fi Roaming NTT Communications, T-Mobile USA, Telstra, StarHub, and Maxis Communications have joined to establish roaming arrangements that allow customers to use wireless broadband services from Internet access points -- called hotspots quot; -- in their countries ",3,Sci/Tech,"The Wireless Operators Team on Wi-Fi Roaming has partnered with NTT Communications, T-Mobile USA, Telstra, StarHub, and Maxis Communications to establish roaming arrangements that enable customers to access wireless broadband services from hotspots in their respective countries.",0.9198
