original_text,label,label_name,paraphrase,similarity
Jury Orders Medtronic to Pay \$109 Mln to Inventor A jury in federal court in Tennessee has ordered Medtronic Inc. to pay at least \$109 million to an inventor in a dispute over rights to spinal fusion technology.,2,Business,A federal jury in Tennessee has ordered Medtronic Inc. to pay $109 million to an inventor in a dispute over spinal fusion technology.,0.9357
"Almost 5,000 jobs cut on Bank of America getting funds Bank of America has an option to cut at least 4,500 jobs while reorganizing its structure. This is not the first time when the bank reduces jobs.",2,Business,"Almost 5,000 jobs have been cut on Bank of America getting funds. This is not the first time the bank has cut at least 4,500 jobs.",0.9191
"Indian inflation peaks on imports Indian inflation hits its highest level in more than three years, boosted by increasing energy and food costs.",2,Business,"Indian inflation peaks on imports as inflation hits its highest level in more than three years, driven by increasing energy and food costs.",0.9765
Confident Bush Outlines Ambitious Plan for 2nd Term President Bush said he would begin work immediately on his proposal to overhaul Social Security.,0,World,Confident Bush Outlines Ambitious Plan for 2nd Term President Bush said he would begin work immediately on his proposal to overhaul Social Security.,1.0
Update 1: Passengers Stranded by Canceled Flights Thousands of disgruntled vacationers were stranded at Heathrow Airport Tuesday after British Airways canceled scores of flights because of staff shortages and technical hitches.,0,World,Passengers stranded at Heathrow Airport Tuesday after British Airways canceled scores of flights because of staff shortages and technical problems.,0.927
"This silence can't be golden What does Larry Bird think of Ron Artest's recent sabbatical? He's not saying. But given that this was a guy who came out of traction to play a game, we can pretty much assume what he has said behind closed doors.",1,Sports,This silence can't be golden What does Larry Bird think about Ron Artest's recent sabbatical?,0.9212
"Subplots abound in rich ALCS the two Eastern Division rivals as consumed with each other as Ahab was with his whale, now and forever. Tonight, it #39;s Mike Mussina vs.",1,Sports,"Subplots abound in rich ALCS, with the two Eastern Division rivals as consumed with each other as Ahab was with his whale, now and forever.",0.7964
Panama-Cuba 'pardon' row worsens Panama recalls its Havana ambassador after Cuba threatened to cut ties if jailed anti-Castro activists are pardoned.,0,World,Panama-Cuba pardon row worsens Panama recalling its Havana ambassador after Cuba threatened to cut ties if imprisoned anti-Castro activists are pardoned.,0.988
"More harmful drugs may be on the market After writing about hundreds of individual and class-action lawsuits that have been filed on behalf of consumers who developed cancer, suffered heart attacks or other medical problems from hormone replacement therapy drugs and Vioxx, an FDA employee now ",2,Business,"More harmful drugs may be on the market after writing about hundreds of individual and class-action lawsuits filed on behalf of consumers who developed cancer, suffered heart attacks or other medical problems from hormone replacement therapy drugs and Vioxx, an FDA employee now.",0.9929
"S amp;P 500 Slides; Nasdaq, Dow Rise The Standard  amp; Poor #39;s 500-stock index slipped from a three-year high, dragged lower by energy shares including Exxon Mobil as crude-oil prices dropped to their lowest in almost two months.",2,Business,"S&P 500 Slides; Nasdaq, Dow Rise The Standard & Poor's 500-stock index slipped from a three-year high, dragged lower by energy shares including Exxon Mobil as crude-oil prices dropped to their lowest in almost two months.",0.8709
"WordsWorth Books files Chapter 11 WordsWorth Books, a Harvard Square institution for 29 years, yesterday filed for bankruptcy protection, as its owners seek a buyer or investor to help the independent bookseller compete with giant rivals like Amazon.com.",2,Business,"WordsWorth Books filed for bankruptcy protection yesterday, as its owners seek a buyer or investor to help the independent bookseller compete with giant rivals like Amazon.com.",0.8638
"Best Software overhauls Act  Best Softwarelaunched this week an overhaul of its Act contact management software, adding to the product line a second version with more scalability and advanced functionality.",3,Sci/Tech,"Best Software overhauls Act contact management software, adding to the product line a second version with more scalability and advanced functionality.",0.9002
"Microsoft Pushes Off SP2 Release Microsoft will delay the release of its SP2 update for another week to fix software glitches. But not everyone is quite so eager to install the SP2 update for Windows XP. In fact, many companies have demanded the ability to prevent their ...",3,Sci/Tech,"Microsoft Pushes Off SP2 Release Microsoft will delay the release of its SP2 update for another week to fix software glitches, but not everyone is quite so eager to install the SP2 upgrade for Windows XP.",0.9728
Cassini Heads Toward Giant Moon on Saturn (AP) AP - The U.S.-European spacecraft Cassini hurtled Tuesday toward its closest encounter yet with Saturn's giant moon Titan.,3,Sci/Tech,Cassini Heads Toward Giant Moon on Saturn (AP) AP - The U.S. - European spacecraft Cassini hurtled Tuesday toward its closest encounter yet with Saturn's giant moon Titan.,1.0
"Scientists Prepare for Huygens' Plunge into Titan UC Berkeley -- On Jan. 14, 2005, the Huygens probe will plow into the orange atmosphere of Saturn's moon, Titan, becoming the first spacecraft to attempt to land on a moon in our solar system since the Soviet Union's Luna 24 touched down on Earth's moon in 1976...",3,Sci/Tech,"Scientists Prepare for Huygens' Plunge into Titan UC Berkeley -- On Jan. 14, 2005, the HuyGens probe will plow into the orange atmosphere of Saturn's moon, Titan, becoming the first spacecraft to attempt to land on a moon in our solar system since the Soviet Union's Luna 24 touched down on Earth's moon in 1976...",1.0
"Gunfire Erupts in Pro-Aristide Haiti Slum PORT-AU-PRINCE, Haiti Oct. 3, 2004 - Gunfire erupted in a slum teeming with loyalists of ousted President Jean-Bertrand Aristide on Sunday, sending people scattering through trash-strewn streets following ",0,World,"Gunfire Erupts in Pro-Aristide Haiti Slum PORT-AU-PRINCE, Haiti Oct. 3, 2004 -- Gunfire erupted in a slum teeming with loyalists of ousted President Jean-Bertrand Aristide on Sunday, sending people scattering through trash-strewn streets.",0.9935
"Wireless Operators Team on Wi-Fi Roaming NTT Communications, T-Mobile USA, Telstra, StarHub, and Maxis Communications have joined to establish roaming arrangements that allow customers to use wireless broadband services from Internet access points -- called hotspots quot; -- in their countries ",3,Sci/Tech,"Wireless operators team on Wi-Fi Roaming NTT Communications, T-Mobile USA, Telstra, StarHub and Maxis Communications have joined to establish roaming arrangements that allow customers to use wireless broadband services from Internet access points -- called hotspots -- in their countries.",0.9829
"Fired Ecuador justices are barred from offices QUITO, Ecuador -- Ecuadorean police barred Supreme Court judges from returning to their offices yesterday after the judges tried to defy a decision by Congress to fire them for bias against President Lucio Gutierrez.",0,World,"Fired Ecuador justices are barred from offices QUITO, Ecuador -- Ecuadorean police have detained Supreme Court judges from returning to their offices after the judges tried to defy a decision by Congress to fire them for bias against President Lucio Gutierrez.",0.9811
"Fannie Mae criminal probe begun Federal prosecutors in Washington have opened an investigation into possible wrongdoing at mortgage giant Fannie Mae, just days after regulators accused ",2,Business,"Fannie Mae criminal probe begun Federal prosecutors in Washington have opened an investigation into possible wrongdoing at mortgage giant Fannie Mae, just days after regulators accused",1.0
More African troops go to Darfur Germany sends three planes to Sudan's troubled Darfur region to help deploy more African Union troops.,0,World,More African troops go to Darfur Germany sends three planes to Sudan's troubled Darfur region to help deploy more African Union troops.,1.0
Last minute name change for Nvidia #39;s new GeForce 6200 with &lt;b&gt;...&lt;/b&gt; PCI Express allows Nvidia to tap into system memory to save expensive on-board graphics memory and achieve high performance at the same time.,3,Sci/Tech,Last minute name change for Nvidia #39;s new GeForce 6200 with &lt;b&gt;...&lt;/b &gt; PCI Express allows Nvidia to tap into system memory to save expensive on-board graphics memory and achieve high performance at the same time.,1.0
Patent case challenges Microsoft #39;s  #39;AutoPlay #39; A federal judge has set a December date for a patent suit challenging  quot;AutoPlay quot; technology included in recent versions of Microsoft Windows.,3,Sci/Tech,Patent case challenges Microsoft #39;s `` AutoPlay '' technology A federal judge has set a December date for a patent suit challenging the technology included in Microsoft Windows.,0.9679
