original_text,label,label_name,paraphrase,similarity
Jury Orders Medtronic to Pay \$109 Mln to Inventor A jury in federal court in Tennessee has ordered Medtronic Inc. to pay at least \$109 million to an inventor in a dispute over rights to spinal fusion technology.,2,Business,The jury orders Medtronic to pay at least $109 million to the inventor A jury in the Tennessee Federal Court ordered Medtronic Inc. to pay at least $109 million to an inventor in a dispute over spiny fusion technology rights.,0.935
"Almost 5,000 jobs cut on Bank of America getting funds Bank of America has an option to cut at least 4,500 jobs while reorganizing its structure. This is not the first time when the bank reduces jobs.",2,Business,"Nearly 5,000 jobs have been eliminated at the Bank of America by obtaining funds The Bank of America has the opportunity to reduce at least 4,500 jobs while reorganizing its structure.This is not the first time the bank has reduced jobs.",0.8893
"Indian inflation peaks on imports Indian inflation hits its highest level in more than three years, boosted by increasing energy and food costs.",2,Business,"Indian inflation has reached its highest level in more than three years, spurred by rising energy and food costs.",0.9316
Confident Bush Outlines Ambitious Plan for 2nd Term President Bush said he would begin work immediately on his proposal to overhaul Social Security.,0,World,President Bush said he would immediately start working on his proposal to revise social security.,0.868
Update 1: Passengers Stranded by Canceled Flights Thousands of disgruntled vacationers were stranded at Heathrow Airport Tuesday after British Airways canceled scores of flights because of staff shortages and technical hitches.,0,World,Update 1: Passengers blocked by cancelled flights Thousands of dissatisfied vacationers were blocked at Heathrow Airport on Tuesday after British Airways cancelled dozens of flights due to staff shortages and technical attacks.,0.7174
"This silence can't be golden What does Larry Bird think of Ron Artest's recent sabbatical? He's not saying. But given that this was a guy who came out of traction to play a game, we can pretty much assume what he has said behind closed doors.",1,Sports,"This silence can't be golden What does Larry Bird think of Ron Artest's recent Sabbath? He doesn't say. But since he was a guy who got out of traction to play a game, we can pretty much assume what he said in camera.",0.8216
"Subplots abound in rich ALCS the two Eastern Division rivals as consumed with each other as Ahab was with his whale, now and forever. Tonight, it #39;s Mike Mussina vs.",1,Sports,"The sub-lots abound in rich ALCS the two rivals of the East division as consumed with one another as Ahab was with his whale, now and forever.",0.7228
Panama-Cuba 'pardon' row worsens Panama recalls its Havana ambassador after Cuba threatened to cut ties if jailed anti-Castro activists are pardoned.,0,World,Panama-Cuba 'pardon' rame empire Panama recalls its ambassador from Havana after Cuba threatened to cut off the links so imprisoned anti-Castro activists are pardoned.,0.8532
"More harmful drugs may be on the market After writing about hundreds of individual and class-action lawsuits that have been filed on behalf of consumers who developed cancer, suffered heart attacks or other medical problems from hormone replacement therapy drugs and Vioxx, an FDA employee now ",2,Business,"More harmful drugs can be on the market After writing about hundreds of individual lawsuits and class action that have been filed on behalf of consumers who have developed cancer, have suffered heart attacks or other medical problems from hormone replacement drugs and Vioxx, an FDA employee now",0.9773
"S amp;P 500 Slides; Nasdaq, Dow Rise The Standard  amp; Poor #39;s 500-stock index slipped from a three-year high, dragged lower by energy shares including Exxon Mobil as crude-oil prices dropped to their lowest in almost two months.",2,Business,"S amp;P 500 Slides; Nasdaq, Dow Rise The Standard amp; Poor #39;s 500-stock index slipped by a three-year high, dragged down by energy shares, including Exxon Mobil, that crude oil prices fell to their lowest in almost two months.",0.9887
"WordsWorth Books files Chapter 11 WordsWorth Books, a Harvard Square institution for 29 years, yesterday filed for bankruptcy protection, as its owners seek a buyer or investor to help the independent bookseller compete with giant rivals like Amazon.com.",2,Business,"WordsWorth Books tables Chapter 11 WordsWorth Books, an institution in Harvard Square for 29 years, filed yesterday for bankruptcy protection, while its owners are looking for a buyer or investor to help the independent bookseller compete with giant rivals like Amazon.com.",0.9732
"Best Software overhauls Act  Best Softwarelaunched this week an overhaul of its Act contact management software, adding to the product line a second version with more scalability and advanced functionality.",3,Sci/Tech,"Best Software revisions Act Best Software launched this week a redesign of its contact management software Act, adding to the product range a second version with more scalability and advanced functionality.",0.8506
